sl_no,teacher_id,date,knowledge_score_bl,knowledge_score_el,skill_score_bl,skill_score_el,attitude_score_bl,attitude_score_el
1,T001,2025-06-06,2,2,3,3,4,5
2,T002,2025-07-18,2,4,2,4,2,3
3,T003,2025-06-25,3,4,2,4,3,4
4,T004,2025-07-21,2,3,2,3,4,5
5,T005,2025-06-23,3,5,3,4,3,3
6,T006,2025-06-29,2,3,3,3,4,4
7,T007,2025-07-05,3,,3,,2,
8,T008,2025-07-11,3,4,2,3,3,4
9,T009,2025-06-29,2,3,2,4,2,2
10,T010,2025-07-14,3,4,1,2,3,4
11,T011,2025-07-19,2,3,2,2,3,3
12,T012,2025-06-19,2,4,3,4,3,4
13,T013,2025-07-31,2,3,3,4,2,2
14,T014,2025-07-11,3,5,2,3,3,4
15,T015,2025-06-11,2,2,2,2,1,1
16,T016,2025-06-24,3,5,2,3,2,3
17,T017,2025-07-19,2,4,2,2,3,4
18,T018,2025-06-28,3,4,2,3,2,3
19,T019,2025-06-19,4,5,2,3,2,4
20,T020,2025-07-09,3,3,3,4,4,4
21,T021,2025-07-31,1,1,3,3,3,4
22,T022,2025-07-06,3,4,4,4,5,4
23,T023,2025-07-20,2,,2,,2,
24,T024,2025-06-17,2,3,1,2,1,3
25,T025,2025-07-28,3,4,2,2,2,4
26,T026,2025-07-17,2,4,3,4,2,3
27,T027,2025-07-26,2,2,3,3,2,3
28,T028,2025-06-16,4,5,2,4,3,4
29,T029,2025-06-21,3,4,3,3,4,4
30,T030,2025-07-11,4,5,4,5,3,3
31,T031,2025-06-18,3,4,2,3,3,5
32,T032,2025-06-19,3,4,3,3,1,1
33,T033,2025-06-26,2,3,3,4,2,3
34,T034,2025-06-13,3,4,3,4,4,5
35,T035,2025-07-07,3,4,1,4,3,5
36,T036,2025-07-04,2,3,2,3,2,4
37,T037,2025-06-18,2,2,1,2,3,3
38,T038,2025-07-21,2,5,1,1,2,2
39,T039,2025-07-22,5,5,1,3,3,3
40,T040,2025-07-20,2,3,3,4,3,3
41,T041,2025-07-03,2,,2,,2,
42,T042,2025-06-02,3,4,2,3,3,4
43,T043,2025-06-14,4,4,3,5,2,3
44,T044,2025-06-16,3,5,1,1,4,4
45,T045,2025-07-06,3,4,2,3,3,5
46,T046,2025-07-18,1,2,2,3,3,3
47,T047,2025-06-11,4,5,1,2,3,3
48,T048,2025-06-26,2,4,3,5,3,4
49,T049,2025-07-29,3,4,3,4,3,4
50,T050,2025-07-22,2,4,3,5,3,5
